Province,Country,day,date,pop,avg_temp,avg_hum,Cases,count,
Qinghai,China,60,22/3/2020,1439323776,2.93442623,25.16393443,confirmed,18,
Qinghai,China,60,22/3/2020,1439323776,2.93442623,25.16393443,deaths,0,
Qinghai,China,60,22/3/2020,1439323776,2.93442623,25.16393443,recovered,18,
Xizang,China,60,22/3/2020,1439323776,-2.918032787,32.39344262,confirmed,1,
Xizang,China,60,22/3/2020,1439323776,-2.918032787,32.39344262,deaths,0,
Xizang,China,60,22/3/2020,1439323776,-2.918032787,32.39344262,recovered,1,
Hebei,China,60,22/3/2020,1439323776,10.2787,41.54,confirmed,319,
Hebei,China,60,22/3/2020,1439323776,10.2787,41.54,deaths,6,
Hebei,China,60,22/3/2020,1439323776,10.2787,41.54,recovered,310,
Beijing,China,60,22/3/2020,1439323776,9.491803279,42.93442623,confirmed,514,
Beijing,China,60,22/3/2020,1439323776,9.491803279,42.93442623,deaths,8,
Beijing,China,60,22/3/2020,1439323776,9.491803279,42.93442623,recovered,400,
Ningxia,China,60,22/3/2020,1439323776,5.819672131,43.90163934,confirmed,75,
Ningxia,China,60,22/3/2020,1439323776,5.819672131,43.90163934,deaths,0,
Ningxia,China,60,22/3/2020,1439323776,5.819672131,43.90163934,recovered,75,
Shanxi,China,60,22/3/2020,1439323776,8.131147541,44.57377049,confirmed,133,
Shanxi,China,60,22/3/2020,1439323776,8.131147541,44.57377049,deaths,0,
Shanxi,China,60,22/3/2020,1439323776,8.131147541,44.57377049,recovered,133,
Tianjin,China,60,22/3/2020,1439323776,10.27868852,45.19672131,confirmed,137,
Tianjin,China,60,22/3/2020,1439323776,10.27868852,45.19672131,deaths,3,
Tianjin,China,60,22/3/2020,1439323776,10.27868852,45.19672131,recovered,133,
Shaanxi,China,60,22/3/2020,1439323776,9.393442623,46.8852459,confirmed,248,
Shaanxi,China,60,22/3/2020,1439323776,9.393442623,46.8852459,deaths,3,
Shaanxi,China,60,22/3/2020,1439323776,9.393442623,46.8852459,recovered,239,
Xinjiang,China,60,22/3/2020,1439323776,7.06557377,47.57377049,confirmed,76,
Xinjiang,China,60,22/3/2020,1439323776,7.06557377,47.57377049,deaths,3,
Xinjiang,China,60,22/3/2020,1439323776,7.06557377,47.57377049,recovered,73,
Gansu,China,60,22/3/2020,1439323776,-5.360655738,49.01639344,confirmed,136,
Gansu,China,60,22/3/2020,1439323776,-5.360655738,49.01639344,deaths,2,
Gansu,China,60,22/3/2020,1439323776,-5.360655738,49.01639344,recovered,114,
Liaoning,China,60,22/3/2020,1439323776,2.426229508,57.03278689,confirmed,126,
Liaoning,China,60,22/3/2020,1439323776,2.426229508,57.03278689,deaths,2,
Liaoning,China,60,22/3/2020,1439323776,2.426229508,57.03278689,recovered,124,
Henan,China,60,22/3/2020,1439323776,14.73770492,57.2295082,confirmed,1273,
Henan,China,60,22/3/2020,1439323776,14.73770492,57.2295082,deaths,22,
Henan,China,60,22/3/2020,1439323776,14.73770492,57.2295082,recovered,1250,
Shandong,China,60,22/3/2020,1439323776,7.819672131,58.55737705,confirmed,766,
Shandong,China,60,22/3/2020,1439323776,7.819672131,58.55737705,deaths,7,
Shandong,China,60,22/3/2020,1439323776,7.819672131,58.55737705,recovered,750,
Yunnan,China,60,22/3/2020,1439323776,18.81967213,60.42622951,confirmed,176,
Yunnan,China,60,22/3/2020,1439323776,18.81967213,60.42622951,deaths,2,
Yunnan,China,60,22/3/2020,1439323776,18.81967213,60.42622951,recovered,172,
Shanghai,China,60,22/3/2020,1439323776,14.31147541,63.39344262,confirmed,394,
Shanghai,China,60,22/3/2020,1439323776,14.31147541,63.39344262,deaths,4,
Shanghai,China,60,22/3/2020,1439323776,14.31147541,63.39344262,recovered,328,
Sichuan,China,60,22/3/2020,1439323776,3.114754098,66.08196721,confirmed,543,
Sichuan,China,60,22/3/2020,1439323776,3.114754098,66.08196721,deaths,3,
Sichuan,China,60,22/3/2020,1439323776,3.114754098,66.08196721,recovered,536,
Hubei,China,60,22/3/2020,1439323776,15.24590164,66.09836066,confirmed,67800,
Hubei,China,60,22/3/2020,1439323776,15.24590164,66.09836066,deaths,3144,
Hubei,China,60,22/3/2020,1439323776,15.24590164,66.09836066,recovered,59433,
Guangdong,China,60,22/3/2020,1439323776,22.90163934,66.59016393,confirmed,1407,
Guangdong,China,60,22/3/2020,1439323776,22.90163934,66.59016393,deaths,8,
Guangdong,China,60,22/3/2020,1439323776,22.90163934,66.59016393,recovered,1329,
Anhui,China,60,22/3/2020,1439323776,14.18032787,70.47540984,confirmed,990,
Anhui,China,60,22/3/2020,1439323776,14.18032787,70.47540984,deaths,6,
Anhui,China,60,22/3/2020,1439323776,14.18032787,70.47540984,recovered,984,
Jiangsu,China,60,22/3/2020,1439323776,12.1147541,71.31147541,confirmed,633,
Jiangsu,China,60,22/3/2020,1439323776,12.1147541,71.31147541,deaths,0,
Jiangsu,China,60,22/3/2020,1439323776,12.1147541,71.31147541,recovered,631,
Guangxi,China,60,22/3/2020,1439323776,20.13114754,74.78688525,confirmed,254,
Guangxi,China,60,22/3/2020,1439323776,20.13114754,74.78688525,deaths,2,
Guangxi,China,60,22/3/2020,1439323776,20.13114754,74.78688525,recovered,250,
Chongqing,China,60,22/3/2020,1439323776,15.40983607,75.8852459,confirmed,577,
Chongqing,China,60,22/3/2020,1439323776,15.40983607,75.8852459,deaths,6,
Chongqing,China,60,22/3/2020,1439323776,15.40983607,75.8852459,recovered,570,
Macau,China,60,22/3/2020,1439323776,20.75409836,76.85245902,confirmed,20,
Macau,China,60,22/3/2020,1439323776,20.75409836,76.85245902,deaths,0,
Macau,China,60,22/3/2020,1439323776,20.75409836,76.85245902,recovered,10,
Hong Kong,China,60,22/3/2020,1439323776,20.62295082,77.7704918,confirmed,317,
Hong Kong,China,60,22/3/2020,1439323776,20.62295082,77.7704918,deaths,4,
Hong Kong,China,60,22/3/2020,1439323776,20.62295082,77.7704918,recovered,100,
Inner Mongol,China,60,22/3/2020,1439323776,-7.836065574,78.6557377,confirmed,75,
Inner Mongol,China,60,22/3/2020,1439323776,-7.836065574,78.6557377,deaths,1,
Inner Mongol,China,60,22/3/2020,1439323776,-7.836065574,78.6557377,recovered,74,
Zhejiang,China,60,22/3/2020,1439323776,15.09836066,81.01639344,confirmed,1237,
Zhejiang,China,60,22/3/2020,1439323776,15.09836066,81.01639344,deaths,1,
Zhejiang,China,60,22/3/2020,1439323776,15.09836066,81.01639344,recovered,1219,
Guizhou,China,60,22/3/2020,1439323776,13.63934426,81.14754098,confirmed,146,
Guizhou,China,60,22/3/2020,1439323776,13.63934426,81.14754098,deaths,2,
Guizhou,China,60,22/3/2020,1439323776,13.63934426,81.14754098,recovered,144,
Hunan,China,60,22/3/2020,1439323776,14.27868852,81.52459016,confirmed,1018,
Hunan,China,60,22/3/2020,1439323776,14.27868852,81.52459016,deaths,4,
Hunan,China,60,22/3/2020,1439323776,14.27868852,81.52459016,recovered,1014,
Fujian,China,60,22/3/2020,1439323776,17.09836066,82.16393443,confirmed,307,
Fujian,China,60,22/3/2020,1439323776,17.09836066,82.16393443,deaths,1,
Fujian,China,60,22/3/2020,1439323776,17.09836066,82.16393443,recovered,295,
Jilin,China,60,22/3/2020,1439323776,-3.540983607,83.55737705,confirmed,93,
Jilin,China,60,22/3/2020,1439323776,-3.540983607,83.55737705,deaths,1,
Jilin,China,60,22/3/2020,1439323776,-3.540983607,83.55737705,recovered,92,
Hainan,China,60,22/3/2020,1439323776,25.67213115,83.81967213,confirmed,168,
Hainan,China,60,22/3/2020,1439323776,25.67213115,83.81967213,deaths,6,
Hainan,China,60,22/3/2020,1439323776,25.67213115,83.81967213,recovered,161,
Jiangxi,China,60,22/3/2020,1439323776,15.75409836,83.85245902,confirmed,936,
Jiangxi,China,60,22/3/2020,1439323776,15.75409836,83.85245902,deaths,1,
Jiangxi,China,60,22/3/2020,1439323776,15.75409836,83.85245902,recovered,934,
Heilongjiang,China,60,22/3/2020,1439323776,-7.3442623,89.78689,confirmed,484,
Heilongjiang,China,60,22/3/2020,1439323776,-7.3442623,89.78689,deaths,13,
Heilongjiang,China,60,22/3/2020,1439323776,-7.3442623,89.78689,recovered,466,
