Province/State,Country,date,pop,temperature,humidity,confirmed,deaths,recovered
,Angola,22/3/2020,29780000,24,87,2,0,0
,Cabo Verde,22/3/2020,546388,21,81,3,0,0
,Cape Verde,22/3/2020,546388,23,77,1,0,0
,Chad,22/3/2020,14900000,42,9,1,0,0
Hubei,China,22/3/2020,58500000,20,61,67800,3144,59433
,Congo (Kinshasa),22/3/2020,11860000,28,91,30,1,0
,Dominica,22/3/2020,73925,26,78,1,0,0
,East Timor,22/3/2020,1296000,28,77,1,0,0
,El Salvador,22/3/2020,6378000,34,61,3,0,0
,Eritrea,22/3/2020,4475000,24,34,1,0,0
,Fiji,22/3/2020,905502,28,87,2,0,0
,Georgia,22/3/2020,3717000,12,69,54,0,3
,Grenada,22/3/2020,107825,27,78,1,0,0
,Haiti,22/3/2020,10980000,28,68,2,0,0
,Madagascar,22/3/2020,25570000,24,85,3,0,0
,Mozambique,22/3/2020,225570000,30,81,1,0,0
,Nicaragua,22/3/2020,6218000,32,72,2,0,0
,Niger,22/3/2020,21480000,40,13,2,0,0
,Papua New Guinea,22/3/2020,8251000,20,93,1,0,0
,Syria,22/3/2020,18270000,17,55,1,0,0
,Timor-Leste,22/3/2020,1296000,28,77,1,0,0
,Uganda,22/3/2020,42860000,30,71,1,0,0
Alabama,US,22/3/2020,4903185,15,88,138,0,0
Alaska,US,22/3/2020,731545,-2,68,21,0,0
Arizona,US,22/3/2020,7278717,20,40,152,2,0
Arkansas,US,22/3/2020,3017825,10,89,165,0,0
California,US,22/3/2020,39512223,21,73,1642,30,0
Colorado,US,22/3/2020,5758736,3,69,476,6,0
Connecticut,US,22/3/2020,3565287,10,39,223,5,0
Delaware,US,22/3/2020,973764,8,64,47,0,0
Florida,US,22/3/2020,21477737,30,64,830,13,0
Georgia,US,22/3/2020,10617423,20,83,600,23,0
Hawaii,US,22/3/2020,1415872,24,77,48,0,0
Idaho,US,22/3/2020,1787147,1,87,42,0,0
Illinois,US,22/3/2020,12671821,2,82,1049,9,0
Indiana,US,22/3/2020,6732219,3,74,201,6,0
Iowa,US,22/3/2020,3155070,3,84,90,0,0
Kansas,US,22/3/2020,2913314,8,93,64,2,0
Kentucky,US,22/3/2020,4467673,14,79,99,3,0
Louisiana,US,22/3/2020,4648794,25,91,837,20,0
Maine,US,22/3/2020,1344212,-1,54,89,0,0
Maryland,US,22/3/2020,6045680,10,55,244,3,0
Massachusetts,US,22/3/2020,6949503,5,42,646,5,0
Michigan,US,22/3/2020,9986857,4,56,1037,9,0
Minnesota,US,22/3/2020,5639632,5,82,169,1,0
Mississippi,US,22/3/2020,2976149,20,89,207,1,0
Missouri,US,22/3/2020,6137428,4,91,100,3,0
Montana,US,22/3/2020,1068778,2,79,31,0,0
Nebraska,US,22/3/2020,1934408,13,76,51,0,0
Nevada,US,22/3/2020,3080156,9,43,190,2,0
New Hampshire,US,22/3/2020,1359711,8,43,65,0,0
New Jersey,US,22/3/2020,8882190,6,55,1914,20,0
New Mexico,US,22/3/2020,2096829,13,40,57,0,0
New York,US,22/3/2020,19453561,6,49,15793,117,0
North Carolina,US,22/3/2020,10488084,11,78,302,0,0
North Dakota,US,22/3/2020,762062,-1,88,28,0,0
Ohio,US,22/3/2020,11689100,7,64,355,3,0
Oklahoma,US,22/3/2020,3956971,17,90,67,2,0
Oregon,US,22/3/2020,4217737,16,60,161,4,0
Pennsylvania,US,22/3/2020,12801989,8,55,509,3,0
Puerto Rico,US,22/3/2020,3193694,28,76,23,1,0
Rhode Island,US,22/3/2020,1059361,4,47,83,0,0
South Carolina,US,22/3/2020,5148714,14,79,196,3,0
South Dakota,US,22/3/2020,884659,9,75,21,1,0
Tennessee,US,22/3/2020,6833174,16,76,505,2,0
Texas,US,22/3/2020,28995881,22,92,627,6,0
Utah,US,22/3/2020,3205958,11,50,181,1,0
Vermont,US,22/3/2020,623989,1,46,52,2,0
Virginia,US,22/3/2020,8535519,12,60,221,6,0
Washington,US,22/3/2020,7614893,10,67,1996,95,0
West Virginia,US,22/3/2020,1792065,10,75,12,0,0
Wisconsin,US,22/3/2020,5822434,5,66,381,4,0
Wyoming,US,22/3/2020,578759,5,67,24,0,0
,Zimbabwe,22/3/2020,16530000,28,55,3,0,0
Greenland,Denmark,22/3/2020,56770,-36,96,4,0,0
,Mongolia,22/3/2020,3278290,11,24,10,0,0
Australian Capital Territory,Australia,22/3/2020,25499884,22,71,19,0,0
