Country,Continent,Both_sexes,Male,Female
Afghanistan,Asia,4.5,2.7,6.2
Albania,Europe,22.3,21.9,22.8
Algeria,Africa,26.6,19.4,34
Andorra,Europe,28,27.9,28.1
Angola,Africa,6.8,3.5,10
Antigua and Barbuda,North America,19.1,11.7,26.3
Argentina,South America,28.5,27.4,29.6
Armenia,Europe,20.9,17.2,24.5
Australia,Oceania,30.4,30.7,30.1
Austria,Europe,21.9,23.4,20.6
Azerbaijan,Europe,19.9,15.7,23.9
Bahamas,North America,32.1,24.8,39
Bahrain,Asia,28.7,24.9,36.1
Bangladesh,Asia,3.4,2.2,4.6
Barbados,North America,24.8,15.6,33.8
Belarus,Europe,26.6,23.5,29.1
Belgium,Europe,24.5,25.1,23.9
Belize,North America,22.4,15.4,29.4
Benin,Africa,8.2,4.2,12.2
Bhutan,Asia,5.8,4.5,7.4
Bolivia ,South America,18.7,13.4,23.9
Bosnia and Herzegovina,Europe,19.4,18.1,20.6
Botswana,Africa,16.1,7,25.5
Brazil,South America,22.3,18.5,25.9
Brunei Darussalam,Asia,14.7,13,16.4
Bulgaria,Europe,27.4,27.5,27.4
Burkina Faso,Africa,4.5,2.2,6.8
Burundi,Africa,4.4,1.8,7
Cote d'Ivoire,Africa,9,5.2,13.1
Cabo Verde,Africa,10.6,6.3,14.9
Cambodia,Asia,3.5,2.5,4.5
Cameroon,Africa,9.5,5.2,13.9
Canada,North America,31.3,31.2,31.5
Central African Republic,Africa,6.3,3.2,9.3
Chad,Africa,4.8,2.6,7
Chile,South America,28.8,25.5,32.1
China,Asia,6.6,6.2,7.1
Colombia,South America,22.1,17.3,26.7
Comoros,Africa,6.9,3,10.8
Congo,Africa,8.4,4.9,11.8
Cook Islands,Oceania,55.3,52,58.6
Costa Rica,North America,25.7,21,30.4
Croatia,Europe,27.1,26,28.2
Cuba,North America,26.7,20.4,33
Cyprus,Europe,22.6,22.4,22.8
Czechia,Europe,28.5,28.5,28.6
North Korea,Asia,7.1,6.4,7.8
Dem. Rep. Congo,Africa,5.6,3.1,8
Denmark,Europe,21.3,23.7,18.9
Djibouti,Africa,12.2,7.9,16.5
Dominica,North America,28.2,20,36
Dominican Republic,North America,26.9,20.4,33.2
Ecuador,South America,19.3,14.4,24.1
Egypt,Africa,31.1,22,40
El Salvador,North America,22.7,17.1,27.4
Equatorial Guinea,Africa,7.4,3.6,11.4
Eritrea,Africa,4.1,1.8,6.3
Estonia,Europe,23.8,21.9,25.3
Eswatini,Africa,13.5,4.4,22.2
Ethiopia,Africa,3.6,1.6,5.6
Fiji,Oceania,30,24.9,35.3
Finland,Europe,24.9,25.7,24.2
France,Europe,23.2,23.5,23
Gabon,Africa,13.4,8.6,18.2
Gambia,Africa,8.7,4.8,12.4
Georgia,Europe,23.3,20,26
Germany,Europe,25.7,26.6,24.9
Ghana,Africa,9.7,4.1,15
Greece,Europe,27.4,26,28.7
Grenada,North America,20.2,12.6,27.6
Guatemala,North America,18.8,13.1,23.8
Guinea,Africa,6.6,3.3,9.9
Guinea-Bissau,Africa,8.2,4.5,11.8
Guyana,South America,19.2,12.2,26.1
Haiti,North America,20.5,16.4,24.3
Honduras,North America,19.4,14.1,24.5
Hungary,Europe,28.6,29.9,27.5
Iceland,Europe,23.1,25.3,20.9
India,Asia,3.8,2.7,4.9
Indonesia,Asia,6.9,4.9,9
Iran,Asia,25.5,19.1,31.8
Iraq,Asia,27.4,21,33.8
Ireland,Europe,26.9,26.5,27.3
Israel,Asia,26.7,26.1,27.2
Italy,Europe,22.9,22.5,23.3
Jamaica,North America,24.4,15,33.2
Japan,Asia,4.4,4.6,4.1
Jordan,Asia,33.4,26.6,40.4
Kazakhstan,Asia,21.3,18.8,23.4
Kenya,Africa,6,2.5,9.4
Kiribati,Oceania,45.6,41.2,50
Kuwait,Asia,37,33,43.9
Kyrgyzstan,Asia,15.4,13.1,17.5
Laos,Asia,4.5,3.2,5.7
Latvia,Europe,25.7,22.9,28
Lebanon,Asia,31.3,27.4,35.3
Lesotho,Africa,13.5,3.7,22.8
Liberia,Africa,8.6,4.9,12.3
Libya,Africa,31.8,24.5,38.7
Lithuania,Europe,28.4,25.3,30.9
Luxembourg,Europe,24.2,26,22.4
Madagascar,Africa,4.5,2.6,6.3
Malawi,Africa,4.7,1.9,7.5
Malaysia,Asia,15.3,12.9,17.6
Maldives,Asia,7.9,5.4,10.3
Mali,Africa,7.1,3.9,10.4
Malta,Europe,31,30.9,31.2
Marshall Islands,Oceania,52.4,47.9,56.9
Mauritania,Africa,11.3,6,16.6
Mauritius,Africa,11.5,5.9,16.8
Mexico,North America,28.4,23.7,32.6
Micronesia (Federated States of),Oceania,41.6,36.1,47.3
Mongolia,Asia,19.6,16.7,22.4
Montenegro,Europe,24.9,24.5,25.2
Morocco,Africa,25.6,19,31.9
Mozambique,Africa,6,2.8,8.9
Myanmar,Asia,5.7,4,7.3
Namibia,Africa,15,6.5,22.7
Nauru,Oceania,60.7,58.5,63
Nepal,Asia,3.8,2.5,4.8
Netherlands,Europe,23.1,22.7,23.4
New Zealand,Oceania,32,31,32.9
Nicaragua,North America,21.8,16.5,26.8
Niger,Africa,4.7,2.3,7.2
Nigeria,Africa,7.8,4.1,11.5
Niue,Oceania,49.3,44.2,54.5
Norway,Europe,25,25.1,24.8
Oman,Asia,22.9,19.5,30.8
Pakistan,Asia,7.8,5.5,10.1
Palau,Oceania,54.9,51.3,58.4
Panama,North America,22.5,17.6,27.5
Papua New Guinea,Oceania,19.4,15.2,23.7
Paraguay,South America,19,16.1,21.9
Peru,South America,19.1,14.7,23.5
Philippines,Asia,6,5,7
Poland,Europe,25.6,25.4,25.7
Portugal,Europe,23.2,22.1,24.2
Qatar,Asia,33.9,31.9,41.8
South Korea,Asia,4.9,4.6,5.3
Moldova,Europe,20.1,16.9,23
Macedonia,Europe,23.9,23.8,23.9
Romania,Europe,24.5,24.9,24.2
Russian Federation,Europe,25.7,19.4,30.8
Rwanda,Africa,4.8,1.6,7.7
Saint Kitts and Nevis,North America,23.1,15.4,30.5
Saint Lucia,North America,19.8,12,27.2
Saint Vincent and the Grenadines,North America,23.8,16.7,31
Samoa,Oceania,45.5,38.2,53.2
Sao Tome and Principe,Africa,10.6,6.3,14.8
Saudi Arabia,Asia,35,31,41.2
Senegal,Africa,7.4,3.3,11
Serbia,Europe,23.5,22.5,24.5
Seychelles,Africa,14.6,8.1,21.4
Sierra Leone,Africa,7.5,3.4,11.6
Singapore,Asia,6.6,6.2,7
Slovakia,Europe,22.4,22.5,22.3
Slovenia,Europe,22.5,21.4,23.6
Solomon Islands,Oceania,20.5,16.3,24.7
Somalia,Africa,6.9,3.4,10.3
South Africa,Africa,27,14.5,38.5
Spain,Europe,27.1,27.1,27.2
Sri Lanka,Asia,5.4,3,7.7
Sudan,Africa,7.4,3.4,10.7
Suriname,South America,26.5,19,33.9
Sweden,Europe,22.1,24.2,20
Switzerland,Europe,21.2,23.7,18.8
Syrian Arab Republic,Asia,25.8,19.3,32.4
Tajikistan,Asia,12.6,10.4,14.6
Thailand,Asia,10.8,7.5,13.8
Timor-Leste,Asia,2.9,2.1,3.8
Togo,Africa,7.1,3.4,10.7
Tonga,Oceania,45.9,39,52.6
Trinidad and Tobago,North America,19.7,11.4,27.7
Tunisia,Africa,27.3,19.3,34.9
Turkey,Asia,32.2,24.2,39.7
Turkmenistan,Asia,17.5,15,19.9
Tuvalu,Oceania,51,46.4,55.6
Uganda,Africa,4.1,1.5,6.8
Ukraine,Europe,26.1,23.2,28.4
United Arab Emirates,Asia,29.9,26.7,38.8
United Kingdom,Europe,29.5,28.6,30.4
Tanzania,Africa,7.1,3.4,10.7
United States of America,North America,37.3,36.5,38.2
Uruguay,South America,28.9,25.3,32.1
Uzbekistan,Asia,15.3,12.9,17.7
Vanuatu,Oceania,23.5,18.8,28.1
Venezuela,South America,25.2,22.1,28.3
Vietnam,Asia,2.1,1.6,2.6
Yemen,Asia,14.1,9.9,18.2
Zambia,Africa,6.5,3,10
Zimbabwe,Africa,12.3,3.7,20.5
